,a2c,ddpg,td3,ppo,sac,mean var,dji
2022-05-13,955320.8250706141,954187.8896229554,873270.6019492571,925286.8793617415,978446.4411050683,,937954.548092568
2022-05-16,956628.5986720622,957620.8960545349,871995.417096657,923546.5404928182,979577.1912156945,,938734.1147852638
2022-05-17,973041.4936485331,973120.7130863953,880151.8876090471,928008.5946466306,997474.0547258264,,951294.9762926606
2022-05-18,942422.3790698131,949189.6134846497,846032.5815215532,907583.6097524465,958828.2042505151,,917370.1410650994
2022-05-19,940827.9183709644,943704.932251854,839569.1074920122,902696.5088228353,957990.2588121301,,910467.6102869802
2022-05-20,936178.2572880405,943355.053396431,839991.4077260515,904091.0264759496,955905.3921014672,,910723.0846647779
2022-05-23,954452.3864776042,962011.0259092255,858865.9571019555,915175.5285905545,975923.4038926965,,928736.5887331362
2022-05-24,955349.1461683086,964564.3705518646,853094.9051038171,912547.0471061566,977606.4865495568,,930145.9652004068
2022-05-25,959399.3062099803,963480.9643400116,862007.0610867883,914801.3499072315,984643.6144105798,,935729.4174706239
2022-05-26,973985.0922954219,972426.0159299774,879140.2692471887,923910.985971635,1000700.560451687,,950788.0673323491
2022-05-27,990706.890557194,987041.4065015716,896360.8742162134,934333.857567914,1017531.004516781,,967561.4680456745
2022-05-31,982717.7935661853,981114.5594251556,887624.0015546228,928842.5138896034,1006584.705990017,,961069.6877204106
2022-06-01,974155.7088543056,973095.5705335541,895938.3728925134,933686.5183183219,997936.5227357751,,955916.5020971658
2022-06-02,985293.5863525126,985076.3782346649,914307.3910504724,947874.1412188652,1011014.1108819848,,968590.4209739799
2022-06-03,973194.1822011912,977885.3751218719,904254.8850232507,940491.4124322517,1003297.5701715356,,958435.5136013648
2022-06-06,977518.8436516154,979530.6797483368,902898.0978261377,939931.9334664429,1005933.4164125329,,958904.016057219
2022-06-07,987317.5346671145,989194.7003400726,910643.3475362207,945953.3103056534,1015590.9673654443,,966605.3452295252
2022-06-08,977466.7378848422,981110.3135755463,906830.9228459741,940770.6748258828,1007247.2211191064,,958761.769744414
2022-06-09,956925.1986776049,958495.2625120087,887688.0026303674,926773.9082283142,988448.9239618188,,940172.3388047713
2022-06-10,929968.4275119327,937549.8342206879,857541.2114621545,908041.1768349884,966214.9262430078,,914536.1393258254
2022-06-13,905078.2446838344,914313.6066511078,827492.653379574,885318.7277251709,934200.037681759,,889015.045563201
2022-06-14,901180.7055537837,913617.0710981293,823429.6775876428,883562.8949266556,925755.3236276513,,884589.5920762658
2022-06-15,912628.3629468806,930787.7708433075,831936.1387273218,894229.8905557068,937605.0198671228,,893436.9713415785
2022-06-16,892761.6073099482,922283.95009161,805708.1710645105,882880.9096141823,919111.8266832238,,871836.7549451077
2022-06-17,889695.7600205996,922760.8637455788,798934.6945592309,885627.4326091392,920796.388752163,,870721.2593600919
2022-06-21,913280.6861188625,937903.8723195458,814446.2349912073,898982.5979835708,944971.5919801599,,889408.6126614695
2022-06-22,913051.9674058727,946140.1067326928,806849.3562528039,901285.3907434088,949631.0495225793,,888035.9357429025
2022-06-23,915531.9849300234,952947.7542241479,812058.9739018823,911148.7709282958,955142.8855211145,,893694.2095736548
2022-06-24,937017.8109656146,980301.2009557153,843685.5107938196,935094.6507980162,971900.2313959008,,917679.2138535619
2022-06-27,939106.9469604953,977160.0143330956,841147.83614172,930429.2265068595,974658.0888673669,,915860.7938891894
2022-06-28,930769.5324374469,959082.1614621545,825443.0800725366,915606.0773229568,964485.8491670495,,901549.1078652652
2022-06-29,932579.4905347064,959468.4444669152,825146.60901083,916365.1986746832,965877.225509823,,903947.2669021052
2022-06-30,925175.4548594706,956883.0292180444,810847.2778660014,908366.7513894087,962132.2419053918,,896551.1983170782
2022-07-01,932289.5355092776,968949.7569631005,821129.1057582896,916951.223360993,971927.3019029504,,905926.7665910978
2022-07-05,922553.7205203212,960897.6617978478,822416.6129687158,917178.6965768324,959786.515541256,,902155.9306356908
2022-07-06,926254.1807135737,961119.7943509484,819393.3867747079,917232.6908981367,963575.1691362268,,904191.0770822527
2022-07-07,936200.671004574,967886.636670437,834324.9430376779,925937.401622277,973669.0073472863,,914296.1413468609
2022-07-08,935475.1133479617,964677.4697392846,830259.9783427011,923430.3739666335,974353.9200441247,,912944.4030855387
2022-07-11,929409.0544743693,962655.8929685021,822542.8908526193,922127.9826716048,968938.0629541284,,908157.7008626044
2022-07-12,930257.6323770182,963948.9802754784,813292.0060793649,916602.1973725783,968413.5807687646,,902549.4977339593
2022-07-13,919632.4227705157,957252.2468922997,808032.013777424,912312.799486672,958489.5665704614,,896474.2715111133
2022-07-14,914887.7442352298,954578.1667149926,801679.7191721689,909339.0519291579,957730.5370485192,,892319.4843081833
2022-07-15,940884.6183893512,967419.9358418847,821405.9270655405,923966.0932307326,985149.1735879785,,911490.9871598236
2022-07-18,933877.3391734546,955112.637753811,824833.3989741098,921044.1211866271,974301.332565487,,905208.6503055337
2022-07-19,961694.6838281252,966602.8478635217,850812.0944659006,935827.2786206786,994807.5199167138,,927187.0711984901
2022-07-20,958406.5000496295,965623.9072545434,865626.151327778,940809.8931448867,988430.786068142,,928579.264311174
2022-07-21,965693.0988333971,971606.9861424828,873025.0087191354,947836.5740849006,994448.2351266748,,933300.4194331678
2022-07-22,960232.0145528109,968939.504815426,866599.6437060129,945778.0264754073,994440.5557654153,,929291.5200486506
2022-07-25,965073.8555833667,969780.1739285851,865973.5256792795,942272.2516043745,1001065.3060278398,,931935.2531199169
2022-07-26,962579.7299460528,974900.4523518945,847974.2655092966,930253.8891421858,997191.7401289445,,925278.5808688496
2022-07-27,972998.8719163821,975157.2962926293,869912.7507311594,944971.921238709,1004562.7334112626,,937981.6317905261
2022-07-28,984826.0002799457,980584.5864919091,877713.3721796762,950301.2652735715,1014377.8217482072,,947654.6655538832
2022-07-29,995549.9107565997,986236.0326093102,900791.1255289804,951427.0840725828,1017041.1064619523,,956845.7688094575
2022-08-01,992721.7351078265,992441.7301877404,897471.0109888803,955558.5028649297,1019018.8765061189,,955484.4146973898
2022-08-02,978824.742644646,979991.8306554223,887180.741915394,949266.5579241454,1005749.0493958284,,943766.6755352501
2022-08-03,990598.1987283061,990857.6609853173,900370.8741175424,962045.5650335432,1019114.8314965059,,955895.2220487702
2022-08-04,986312.3704728854,984295.2398847009,895497.4472529184,959763.6416404768,1012547.8487770845,,953399.1975487205
2022-08-05,988681.2063447154,982497.744595852,898370.002436329,960821.3492267156,1013374.8068459322,,955632.1232686064
2022-08-08,991057.7670396616,982764.7787717248,900880.3949343454,962486.0971936346,1014903.9098618318,,956479.0009165215
2022-08-09,992456.1856591456,984286.5098622704,894485.2686068307,957940.8897109152,1013719.6897423555,,954785.5870118419
2022-08-10,1007683.7640097926,995123.0678494836,916396.7213999521,973604.7992830093,1026042.5284264375,,970374.189736553
2022-08-11,1009336.2126723177,987941.5314954186,924558.8920275461,972263.117778855,1022069.646125107,,971165.4206268988
2022-08-12,1023170.231772423,991904.1802342797,937586.682615925,983237.6140195625,1034366.410502701,,983528.4459624465
2022-08-15,1026192.3269742281,995031.2796218949,940584.2173716318,986658.4594838911,1037430.7056992342,,987938.7644416991
2022-08-16,1030496.2459160731,1000781.5073135453,946652.6252009164,989862.0487908483,1044888.7219574739,,994917.9375331576
2022-08-17,1025859.9900824245,994694.7179344255,943824.6709582101,986164.3455895812,1038423.6873047639,,989916.2157837874
2022-08-18,1027166.3116776469,994681.7088592607,945640.8314005624,988322.6346081893,1040341.8813545991,,990461.5312485562
2022-08-19,1020357.4894454272,992894.2677440911,932350.1653925668,978610.4722503669,1036649.5754769136,,981946.2117758553
2022-08-22,1003544.7634125522,979769.279993084,910645.1435801279,961546.2699942023,1021638.0853226472,,963210.5516266491
2022-08-23,999419.3850164874,975618.3700351983,910888.9491831552,956079.2244461944,1015071.0628881456,,958723.6477325823
2022-08-24,1000647.1879753802,978125.5746746331,916573.5757281076,961821.471194306,1016888.2642393113,,960461.1010957062
2022-08-25,1014312.9647015613,990458.379350689,919970.7730547677,964011.2588875244,1030943.2472143174,,969857.664925496
2022-08-26,983087.406213528,965919.9687443047,891169.6202990304,938877.9133475082,1004303.2238264085,,940481.4684917589
2022-08-29,978394.8481692164,958995.8229217797,884350.1732947122,929562.8799419982,1000558.9259638749,,935109.2235467946
2022-08-30,967716.3359170115,950726.328071621,875085.964287449,924480.407142781,989883.2430014573,,926133.0260206059
2022-08-31,961275.5857026008,943017.8192730218,867654.8659159433,915295.1860494277,980395.8773131333,,917963.2512909707
