,a2c,ddpg,td3,ppo,sac,mean var,dji
2022-03-01,972534.6936076587,988025.5518675349,1007237.2311269611,981452.5143181592,976652.1357846453,,969949.9543332437
2022-03-02,989344.2174533313,1004341.3302946589,1021805.5166913837,990657.4388962765,998101.6218571856,,987324.3741674323
2022-03-03,989189.7029574817,995576.5220976374,1021899.5667745441,991929.8548069326,1004569.4093480303,,984507.5557827451
2022-03-04,988634.3014644092,986148.8796797297,1009562.817354378,997715.339287264,1002375.3842778399,,979267.8844013149
2022-03-07,964040.2710803455,957878.6721144221,983524.2162114948,985483.6975931189,993751.3029980853,,956037.3545645248
2022-03-08,957614.1999667591,958683.9933271906,974253.5528588984,976126.7779020445,1000838.19179966,,950655.55066734
2022-03-09,979184.3203586048,974238.2698545954,1002986.8978620723,987763.015422293,1015408.850746651,,969696.5283023505
2022-03-10,976777.6578486866,972716.8786650202,992510.1469767878,987318.4601249106,1009011.4336896136,,966428.5046134462
2022-03-11,965147.356659264,967097.9964323542,978735.0683098262,980682.8159143699,1009929.0572667315,,959731.6620036429
2022-03-14,965350.9185985035,964905.6979780695,973740.9125137752,983756.1385760787,1010252.1792760089,,959762.1596131083
2022-03-15,977605.0135653919,983081.8287916682,994855.6717338985,996738.4001360955,1022930.5222897723,,977215.2132090154
2022-03-16,993061.526165337,1001961.3876677058,1017640.2321281856,1001840.1398337921,1033988.3099332049,,992327.8028725561
2022-03-17,1008342.2886928028,1010300.9799986384,1029662.3709946101,1009389.3365485444,1047938.548679848,,1004495.0972816844
2022-03-18,1018047.4998248523,1021006.9099150202,1044143.7447243159,1013247.556217421,1053213.8147282794,,1012482.170847153
2022-03-21,1016496.6886676258,1009389.0645399592,1041735.0391769832,1010995.5224518913,1051026.773502846,,1006599.204740694
2022-03-22,1024439.2095073169,1020198.5211439631,1056110.4144859738,1012839.0022916815,1055341.9723515704,,1014012.513578833
2022-03-23,1014614.8857806629,1003714.7055540583,1047800.7412186092,1006163.7724509604,1046499.06106617,,1000933.3634061004
2022-03-24,1029628.3030284351,1013334.3604918025,1062588.696212811,1015422.226050566,1054756.4758267596,,1011113.3061297692
2022-03-25,1035151.2951816028,1017728.7264814875,1068111.4866409726,1017979.3521042464,1061725.0589566424,,1015579.1575695408
2022-03-28,1034817.1084826892,1021916.3704252741,1071768.220733685,1019435.111638651,1062740.5098881915,,1018336.5738940007
2022-03-29,1040377.6740954822,1033321.3968153498,1085359.6508675045,1021710.1232297956,1071279.3487591937,,1028191.9674303739
2022-03-30,1040611.8058856433,1030709.2299833796,1080566.4404602475,1024556.7793088207,1071950.0613103106,,1026287.2324033914
2022-03-31,1023149.9517215198,1014307.4781981013,1063270.5243568844,1012313.9971412907,1063121.4149327471,,1010251.2934741717
2022-04-01,1026587.5349009937,1018838.7082701228,1065808.3847008175,1015887.3298164806,1065575.2878003314,,1014327.3900168579
2022-04-04,1031935.2060740894,1022897.6497526667,1078156.31221394,1016225.9010716267,1069591.5065884783,,1017345.7429775272
2022-04-05,1024692.1135714954,1011572.5360212824,1063448.6761093563,1016733.9404276181,1059456.3210568621,,1009168.4007440506
2022-04-06,1025674.9339030689,1002598.8057280085,1053336.3069458432,1023039.319601801,1059395.0689740374,,1004953.9269882677
2022-04-07,1028652.6193812793,1007703.5674086115,1055390.8821411557,1026175.0785082341,1061189.3867039874,,1007490.1218470535
2022-04-08,1032600.6721614307,1006520.7312422297,1053617.6348495907,1030498.5815423107,1067637.0296940997,,1011497.257377292
2022-04-11,1018333.3549540943,989641.2864103816,1035446.1310997432,1021014.409604269,1058960.8937573626,,999464.4710815522
2022-04-12,1016907.1648677295,988383.945879986,1034882.9052124446,1018535.4832025623,1055662.5988660052,,996909.0445212752
2022-04-13,1024594.535400719,1003656.9819136164,1043763.430069012,1025007.9755214595,1066478.8409848406,,1006937.1819799184
2022-04-14,1017472.8367770618,995270.2509565852,1030748.5480804866,1020997.9944101123,1074965.0402798846,,1003634.7915818405
2022-04-18,1016972.9391864246,993738.1497526667,1029108.9734001582,1016995.6629791927,1078614.5036015704,,1002482.9378392716
2022-04-19,1030445.6583903736,1011335.1415129206,1045193.3063850825,1028143.2610677853,1090053.6710248187,,1017034.6218421602
2022-04-20,1038020.8751147693,1021240.4758024714,1046255.1174660152,1041144.2088077298,1104793.0960164263,,1024305.6843674944
2022-04-21,1024134.538059563,1008486.6300764582,1037269.9232712215,1033790.4985081311,1097710.5085759356,,1013584.2952787653
2022-04-22,996880.0883410877,985281.6967573664,1010733.1302948421,1012717.366684004,1058959.2417187884,,984995.1761430401
2022-04-25,1001874.7557872242,992262.1050062678,1019569.6145019954,1018391.5480236989,1064904.8050465777,,991930.4235731044
2022-04-26,978965.3815997547,967467.000315716,992270.3689232295,1001628.1298323192,1041493.8141522601,,968354.405891774
2022-04-27,978160.029579491,962785.0472441218,991019.6337624019,1001701.7675625668,1048073.2304921343,,970153.3096620296
2022-04-28,1004926.0767596668,983458.1897840998,1023976.8069687312,1018833.5007141437,1052138.713825722,,988053.8132594957
2022-04-29,977067.9187091297,956015.267100384,995991.0607338374,1000464.2158711032,1028413.3498730853,,960693.5884693546
2022-05-02,977317.9693072742,963958.2031431696,995985.0753784602,998995.6447948475,1029240.4614262774,,963149.1012195174
2022-05-03,981316.4148982471,966617.2189131281,1001281.5424232905,996880.6430360851,1033353.7500615313,,965109.369207019
2022-05-04,1011762.4222682422,996114.8957472346,1033751.6974411433,1017989.1776698626,1062349.7780690386,,992268.2870152786
2022-05-05,980023.1554301685,965169.0702238581,995228.0842171138,993075.0998431605,1037488.8931241229,,961298.3059943506
2022-05-06,981391.2465632862,962737.6902342341,991203.369194073,994919.2984830074,1037156.3713422015,,958425.9546491443
2022-05-09,958452.3181079334,934229.793032696,970115.6114006465,980016.2648486383,1021631.0481038287,,939383.15626133
2022-05-10,958731.3568042225,931213.2283506892,972752.393878979,978168.0105423296,1015581.7043156817,,936908.1273170502
2022-05-11,948547.7805179065,918491.1849546931,951839.8899918025,971858.6271562327,1015154.2165150836,,927392.7024682808
2022-05-12,944361.3106959766,914079.4040098689,943358.4147301143,968765.8801198977,1016073.8248334124,,924368.5458580491
2022-05-13,959301.1438258594,929093.6853437922,960617.7138786739,979319.0032493379,1024880.2952733233,,937954.548092568
2022-05-16,962370.6841891712,930004.4346800349,957198.5458984798,982908.8766849573,1029836.6301274493,,938734.1147852638
2022-05-17,976745.9149936145,943036.3644514582,968247.4266586726,993912.6915448741,1041579.6346936419,,951294.9762926606
2022-05-18,942490.5020640796,903251.6515608332,931598.4324913447,959093.4156686381,1017735.0473332598,,917370.1410650994
